2024-06-25T16:51:59.124Z [INFO] Server started on port 3202
2024-06-25T16:51:59.359Z [INFO] Server on 3202 has received a vote from 3201
2024-06-25T16:51:59.360Z [INFO] Server on 3202 has received a vote from 3200
2024-06-25T16:51:59.361Z [INFO] Server on port 3202 elected as leader
2024-06-25T16:51:59.366Z [ERROR] Error notifying RP: AggregateError
2024-06-25T16:51:59.418Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:51:59.419Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:51:59.479Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:51:59.481Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:51:59.541Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:51:59.542Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:51:59.605Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:51:59.606Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:51:59.667Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:51:59.668Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:51:59.731Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:51:59.732Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:51:59.793Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:51:59.795Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:51:59.856Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:51:59.857Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:51:59.918Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:51:59.919Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:51:59.979Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:51:59.980Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:52:00.042Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:52:00.043Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:52:00.106Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:52:00.107Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:52:00.169Z [INFO] Heartbeat acknowledged by server on port 3201
2024-06-25T16:52:00.170Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:52:00.232Z [INFO] Heartbeat acknowledged by server on port 3200
2024-06-25T16:52:00.233Z [INFO] Heartbeat acknowledged by server on port 3201
