2024-06-24T18:28:13.054Z [INFO] Server started on port 3300
2024-06-24T18:28:13.395Z [INFO] Server on 3300 has received a vote from 3301
2024-06-24T18:28:13.398Z [INFO] Server on port 3300 elected as leader
2024-06-24T18:28:13.420Z [ERROR] Error notifying RP: AggregateError
2024-06-24T18:28:13.467Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:13.469Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:13.528Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:13.530Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:13.591Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:13.595Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:13.654Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:13.657Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:13.715Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:13.717Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:13.777Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:13.778Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:13.839Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:13.840Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:13.902Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:13.904Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:13.966Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:13.967Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.027Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:14.029Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.090Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:14.092Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.153Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.155Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:14.213Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:14.215Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.277Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:14.278Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.338Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.340Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:14.401Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:14.403Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.466Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:14.467Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.528Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.529Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:14.590Z [INFO] Heartbeat acknowledged by server on port 3301
2024-06-24T18:28:14.592Z [INFO] Heartbeat acknowledged by server on port 3302
2024-06-24T18:28:14.653Z [INFO] Heartbeat acknowledged by server on port 3301
